run_id,percent_bell,theta_n_deg,theta_e_deg,length_mm
run_01,0.6722604395144404,26.474093637137013,15.504373888023633,146.8975524705367
run_02,0.7330263197094063,28.614926932627846,8.806500706230198,152.60373957079122
run_03,0.6623886029800965,28.001083826226036,10.632503031286522,145.97054300227327
run_04,0.8654961406210444,27.264990023411155,10.641938652853938,165.04324642618
run_05,0.7435613487991933,23.587437784795526,10.281756213646045,153.59302577713052
run_06,0.8777276127821523,29.41111844584252,9.765468133616661,166.19183620121328
run_07,0.7517236882800742,23.197731980113673,13.931176602643902,154.35950584957027
run_08,0.6564547403187013,29.80781854052586,14.161834367647414,145.41332683977393
run_09,0.8822161650292624,28.399351659754583,9.141205305457225,166.61333127129373
run_10,0.6895619623421277,26.48774727467963,15.284520279135346,148.52224261009118
run_11,0.7925523784409219,25.206504269573017,10.046446571163159,158.1935019073681
run_12,0.8362954029396513,27.021106725256356,13.016140970910858,162.30116695426466
run_13,0.6387007849466453,26.700729261359434,8.472824173586432,143.7461512669446
run_14,0.6133018600531749,27.400628085186728,8.04461914771791,141.36107896777858
run_15,0.8429973489799776,20.269477314056914,13.111397386294612,162.93050957086484
run_16,0.721952356425032,27.01547157791085,15.923112505618601,151.5638450405179
run_17,0.6031750449602502,27.383679247806363,12.213357812673305,140.4101258759365
run_18,0.6499263773024899,26.03060941126013,14.756039771575459,144.80028444313027
run_19,0.8929483462137366,27.36799608856088,12.055442194987691,167.6211309384088
run_20,0.8143125880404711,25.917358111568735,11.43612531372374,160.23688261570956
run_21,0.8533159703820953,20.750351752066962,13.715937038271683,163.89947413038837
run_22,0.7623500114258397,25.956073580735055,12.652378826491201,155.35736497483848
run_23,0.7844079283925458,21.111330067908725,9.591781910781883,157.4287017324081
run_24,0.6956328261076764,29.236070211266558,14.557725695006763,149.09232378714694
run_25,0.6214659692673183,25.83437698753609,8.784452602216248,142.12772522606275
run_26,0.80718616107978,20.299804433898213,11.82348892940616,159.56767934796247
run_27,0.7044296784765872,27.347162486721764,11.556183055912697,149.91838744901224
run_28,0.8259361313855993,22.484007065876593,15.155473888024613,161.32838516421893
run_29,0.7197728792686614,29.45632328199118,13.407370839840947,151.3591824174294
run_30,0.7753812276974861,22.58219553954261,11.066388059972436,156.58105428784302
