x[m],r[m]
-4.622930754056584456e-03,1.467674443710228691e-02
-4.297477473705050080e-03,1.460688188958816219e-02
-3.970969888174953263e-03,1.454212534684501054e-02
-3.643488099954410916e-03,1.448249069567125735e-02
-3.315112450533824490e-03,1.442799256630568003e-02
-2.985923500695611410e-03,1.437864432883813673e-02
-2.656002010750129708e-03,1.433445808992948878e-02
-2.325428920722660484e-03,1.429544468984144528e-02
-1.994285330496296717e-03,1.426161369977710716e-02
-1.662652479915611948e-03,1.423297341953286624e-02
-1.330611728855998332e-03,1.420953087546220073e-02
-9.982445372635410756e-04,1.419129181875188050e-02
-6.656324451703725560e-04,1.417826072401103671e-02
-3.328570526903502262e-04,1.417044078817339750e-02
-0.000000000000000000e+00,1.416783392971297101e-02
5.561610404708850153e-05,1.416811969914760078e-02
1.112263348302969745e-04,1.416897697727320660e-02
1.668248197059834972e-04,1.417040567355807613e-02
2.224056872709169442e-04,1.417240563712666296e-02
2.779630679823185541e-04,1.417497665677550436e-02
3.334910947777072168e-04,1.417811846099552471e-02
3.889839036944827159e-04,1.418183071800071735e-02
4.444356344891812701e-04,1.418611303576317040e-02
4.998404312563391096e-04,1.419096496205447810e-02
5.551924430468974884e-04,1.419638598449348560e-02
6.104858244860841355e-04,1.420237553060040882e-02
6.657147363907056593e-04,1.420893296785728788e-02
7.208733463857878044e-04,1.421605760377477740e-02
7.759558295204945508e-04,1.422374868596527897e-02
8.309563688832649619e-04,1.423200540222240712e-02
8.858691562160994756e-04,1.424082688060673840e-02
9.406883925279340558e-04,1.425021218953791136e-02
9.954082887070341175e-04,1.426016033789299919e-02
1.050023066132346750e-03,1.427067027511117261e-02
1.104526957283742932e-03,1.428174089130464230e-02
1.158914206351090116e-03,1.429337101737587074e-02
1.213179069842085667e-03,1.430555942514103764e-02
1.267315817188791657e-03,1.431830482745972619e-02
1.321318731352802900e-03,1.433160587837086809e-02
1.375182109428987973e-03,1.434546117323486601e-02
1.428900263247735768e-03,1.435986924888193669e-02
1.482467519975647942e-03,1.437482858376662453e-02
1.535878222714610495e-03,1.439033759812849075e-02
1.589126731099183096e-03,1.440639465415892266e-02
1.642207421892241757e-03,1.442299805617411335e-02
1.695114689578813491e-03,1.444014605079411984e-02
1.747842946958040079e-03,1.445783682712802921e-02
1.800386625733205008e-03,1.447606851696519453e-02
1.852740177099767432e-03,1.449483919497253012e-02
1.904898072331336588e-03,1.451414687889782291e-02
1.956854803363523333e-03,1.453398952977907714e-02
2.008604883375614616e-03,1.455436505215982820e-02
2.060142847369999305e-03,1.457527129431043442e-02
2.111463252749294639e-03,1.459670604845531017e-02
2.837597534821373248e-03,1.490415960500520234e-02
3.560780325156936033e-03,1.520992476653785369e-02
4.281011623755983861e-03,1.551400153305327982e-02
4.998291430618516731e-03,1.581638990455147206e-02
5.712619745744534211e-03,1.611708988103242868e-02
6.423996569134037167e-03,1.641610146249615140e-02
7.132421900787024732e-03,1.671342464894264718e-02
7.837895740703496039e-03,1.700905944037190906e-02
8.540418088883453690e-03,1.730300583678393359e-02
9.239988945326895950e-03,1.759526383817872769e-02
9.936608310033821084e-03,1.788583344455628790e-02
1.063027618300423256e-02,1.817471465591661769e-02
1.132099256423813038e-02,1.846190747225971013e-02
1.200875745373551282e-02,1.874741189358557561e-02
1.269357085149637986e-02,1.903122791989420373e-02
1.337543275752072977e-02,1.931335555118560143e-02
1.405434317180856603e-02,1.959379478745976524e-02
1.473030209435988516e-02,1.987254562871669517e-02
1.540330952517469064e-02,2.014960807495639120e-02
1.607336546425298246e-02,2.042498212617886028e-02
1.674046991159475889e-02,2.069866778238408853e-02
1.740462286720001819e-02,2.097066504357208636e-02
1.806582433106876384e-02,2.124097390974285723e-02
1.872407430320099583e-02,2.150959438089639422e-02
1.937937278359671070e-02,2.177652645703269038e-02
2.003171977225590844e-02,2.204177013815175959e-02
2.068111526917859599e-02,2.230532542425359838e-02
2.132755927436475948e-02,2.256719231533819633e-02
2.197105178781441626e-02,2.282737081140556734e-02
2.261159280952755590e-02,2.308586091245570446e-02
2.324918233950418189e-02,2.334266261848860768e-02
2.388382037774429076e-02,2.359777592950428049e-02
2.451550692424788597e-02,2.385120084550271941e-02
2.514424197901496405e-02,2.410293736648392096e-02
2.577002554204552848e-02,2.435298549244789210e-02
2.639285761333957231e-02,2.460134522339463281e-02
2.701273819289710942e-02,2.484801655932413963e-02
2.762966728071812247e-02,2.509299950023641604e-02
2.824364487680263575e-02,2.533629404613146202e-02
2.885467098115061801e-02,2.557790019700926371e-02
2.946274559376209357e-02,2.581781795286984191e-02
3.006786871463704852e-02,2.605604731371317928e-02
3.067004034377548982e-02,2.629258827953928623e-02
3.126926048117741747e-02,2.652744085034816623e-02
3.186552912684283145e-02,2.676060502613981235e-02
3.245884628077172485e-02,2.699208080691422457e-02
3.304921194296411152e-02,2.722186819267140290e-02
3.363662611341997760e-02,2.744996718341134734e-02
3.422108879213932309e-02,2.767637777913405789e-02
3.480259997912216879e-02,2.790109997983953802e-02
3.538115967436848697e-02,2.812413378552778079e-02
3.595676787787829842e-02,2.834547919619880008e-02
3.652942458965158234e-02,2.856513621185257853e-02
3.709912980968836649e-02,2.878310483248913351e-02
3.766588353798862310e-02,2.899938505810844419e-02
3.822968577455236605e-02,2.921397688871052792e-02
3.879053651937960229e-02,2.942688032429537429e-02
3.934843577247031099e-02,2.963809536486299023e-02
3.990338353382451297e-02,2.984762201041336882e-02
4.045537980344220130e-02,3.005546026094653086e-02
4.100442458132336904e-02,3.026161011646244514e-02
4.155051786746802311e-02,3.046607157696112900e-02
4.209365966187617047e-02,3.066884464244258590e-02
4.263384996454779030e-02,3.086992931290680198e-02
4.317108877548289647e-02,3.106932558835378763e-02
4.370537609468150286e-02,3.126703346878353940e-02
4.423671192214358172e-02,3.146305295419606074e-02
4.476509625786913305e-02,3.165738404459135513e-02
4.529052910185818459e-02,3.185002673996940870e-02
4.581301045411072248e-02,3.204098104033023531e-02
4.633254031462673977e-02,3.223024694567382109e-02
4.684911868340624341e-02,3.241782445600017992e-02
4.736274556044923340e-02,3.260371357130929793e-02
4.787342094575570972e-02,3.278791429160118898e-02
4.838114483932566545e-02,3.297042661687584614e-02
4.888591724115910753e-02,3.315125054713327635e-02
4.938773815125603595e-02,3.333038608237347267e-02
4.988660756961645071e-02,3.350783322259642816e-02
5.038252549624034488e-02,3.368359196780215670e-02
5.087549193112773233e-02,3.385766231799064441e-02
5.136550687427859918e-02,3.403004427316191211e-02
5.185257032569295238e-02,3.420073783331593897e-02
5.233668228537078498e-02,3.436974299845273195e-02
5.281784275331210393e-02,3.453705976857229798e-02
5.329605172951691616e-02,3.470268814367463012e-02
5.377130921398520780e-02,3.486662812375972142e-02
5.424361520671698578e-02,3.502887970882758578e-02
5.471296970771223622e-02,3.518944289887821625e-02
5.517937271697099383e-02,3.534831769391161976e-02
5.564282423449322390e-02,3.550550409392778245e-02
5.610332426027894726e-02,3.566100209892671125e-02
5.656087279432814308e-02,3.581481170890841309e-02
5.701546983664083218e-02,3.596693292387288104e-02
5.746711538721699375e-02,3.611736574382010817e-02
5.791580944605665554e-02,3.626611016875011528e-02
5.836155201315979674e-02,3.641316619866288851e-02
5.880434308852641734e-02,3.655853383355842090e-02
5.924418267215653122e-02,3.670221307343672634e-02
5.968107076405011757e-02,3.684420391829779096e-02
6.011500736420720414e-02,3.698450636814162862e-02
6.054599247262776318e-02,3.712312042296823239e-02
6.097402608931182244e-02,3.726004608277760921e-02
6.139910821425935417e-02,3.739528334756973826e-02
6.182123884747037224e-02,3.752883221734464730e-02
6.224041798894487665e-02,3.766069269210231552e-02
6.265664563868286741e-02,3.779086477184275678e-02
6.306992179668433063e-02,3.791934845656596414e-02
6.348024646294929407e-02,3.804614374627194456e-02
6.388761963747774386e-02,3.817125064096068415e-02
6.429204132026966612e-02,3.829466914063218291e-02
6.469351151132508859e-02,3.841639924528646166e-02
6.509203021064399741e-02,3.853644095492351346e-02
6.548759741822636482e-02,3.865479426954331749e-02
6.588021313407224633e-02,3.877145918914589456e-02
6.626987735818158642e-02,3.888643571373123775e-02
6.665659009055444062e-02,3.899972384329935399e-02
6.704035133119073953e-02,3.911132357785022245e-02
6.742116108009055253e-02,3.922123491738387091e-02
6.779901933725385188e-02,3.932945786190028548e-02
